Datetime,Timestamp,Sensor,Acao,Distancia_Pixels
2026-04-16 13:21:11.429,1776342071.4292686,Teclado,Key_Delete_Release,0
2026-04-16 13:21:11.513,1776342071.513458,Teclado,Key_Delete_Press,0
2026-04-16 13:21:11.608,1776342071.6083672,Teclado,Key_Delete_Release,0
2026-04-16 13:21:11.681,1776342071.6815732,Teclado,Key_Delete_Press,0
2026-04-16 13:21:11.782,1776342071.7823927,Teclado,Key_Delete_Release,0
2026-04-16 13:21:11.870,1776342071.8701315,Teclado,Key_Delete_Press,0
2026-04-16 13:21:11.968,1776342071.9688077,Teclado,Key_Delete_Release,0
2026-04-16 13:21:13.158,1776342073.1582143,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:13.241,1776342073.2419462,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:13.316,1776342073.3168666,Teclado,Key_WASD_Press,0
2026-04-16 13:21:13.396,1776342073.3960989,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:13.416,1776342073.416822,Teclado,Key_WASD_Release,0
2026-04-16 13:21:13.487,1776342073.4872394,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:13.518,1776342073.5181568,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:13.581,1776342073.581871,Teclado,Key_WASD_Press,0
2026-04-16 13:21:13.588,1776342073.5888736,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:13.662,1776342073.6623192,Teclado,Key_Space_Press,0
2026-04-16 13:21:13.670,1776342073.6703446,Teclado,Key_WASD_Release,0
2026-04-16 13:21:13.747,1776342073.7474368,Teclado,Key_Space_Release,0
2026-04-16 13:21:13.845,1776342073.8459816,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:13.882,1776342073.8826675,Teclado,Key_WASD_Press,0
2026-04-16 13:21:13.936,1776342073.936387,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:13.962,1776342073.9627318,Teclado,Key_WASD_Press,0
2026-04-16 13:21:14.004,1776342074.004922,Teclado,Key_WASD_Release,0
2026-04-16 13:21:14.079,1776342074.0794258,Teclado,Key_WASD_Release,0
2026-04-16 13:21:14.146,1776342074.1461332,Teclado,Key_WASD_Press,0
2026-04-16 13:21:14.253,1776342074.2538078,Teclado,Key_WASD_Press,0
2026-04-16 13:21:14.284,1776342074.2843282,Teclado,Key_WASD_Release,0
2026-04-16 13:21:14.385,1776342074.3853965,Teclado,Key_WASD_Release,0
2026-04-16 13:21:14.549,1776342074.5494328,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:14.632,1776342074.6321523,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:14.673,1776342074.6734834,Teclado,Key_Space_Press,0
2026-04-16 13:21:14.763,1776342074.7638729,Teclado,Key_Space_Release,0
2026-04-16 13:21:14.871,1776342074.8717935,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:14.924,1776342074.9249516,Teclado,Key_WASD_Press,0
2026-04-16 13:21:14.961,1776342074.9615393,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:15.015,1776342075.015601,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:15.057,1776342075.0574675,Teclado,Key_WASD_Release,0
2026-04-16 13:21:15.116,1776342075.1162567,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:15.126,1776342075.1267238,Teclado,Key_WASD_Press,0
2026-04-16 13:21:15.178,1776342075.1788087,Teclado,Key_Space_Press,0
2026-04-16 13:21:15.227,1776342075.2274303,Teclado,Key_WASD_Release,0
2026-04-16 13:21:15.301,1776342075.301908,Teclado,Key_Space_Release,0
2026-04-16 13:21:15.319,1776342075.3191626,Teclado,Key_WASD_Press,0
2026-04-16 13:21:15.408,1776342075.4085279,Teclado,Key_Space_Press,0
2026-04-16 13:21:15.425,1776342075.42503,Teclado,Key_WASD_Release,0
2026-04-16 13:21:15.515,1776342075.5152729,Teclado,Key_Space_Release,0
2026-04-16 13:21:15.921,1776342075.921856,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:16.044,1776342076.0446436,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:16.052,1776342076.052117,Teclado,Key_WASD_Release,0
2026-04-16 13:21:16.097,1776342076.0978718,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:16.342,1776342076.3425026,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:16.437,1776342076.4374669,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:16.463,1776342076.4636333,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:16.506,1776342076.5064445,Teclado,Key_Space_Press,0
2026-04-16 13:21:16.538,1776342076.538622,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:16.612,1776342076.6126935,Teclado,Key_Space_Release,0
2026-04-16 13:21:17.301,1776342077.301963,Teclado,Key_WASD_Press,0
2026-04-16 13:21:17.407,1776342077.4071488,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:17.466,1776342077.4662356,Teclado,Key_WASD_Release,0
2026-04-16 13:21:17.573,1776342077.573683,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:17.583,1776342077.583675,Teclado,Key_Space_Press,0
2026-04-16 13:21:17.731,1776342077.7318797,Teclado,Key_Space_Release,0
2026-04-16 13:21:17.755,1776342077.7557635,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:17.835,1776342077.835202,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:17.889,1776342077.889368,Teclado,Key_WASD_Press,0
2026-04-16 13:21:17.991,1776342077.991758,Teclado,Key_WASD_Press,0
2026-04-16 13:21:18.027,1776342078.0276213,Teclado,Key_WASD_Release,0
2026-04-16 13:21:18.149,1776342078.1490462,Teclado,Key_WASD_Release,0
2026-04-16 13:21:18.173,1776342078.1735334,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:18.275,1776342078.2750657,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:18.291,1776342078.2914362,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:18.386,1776342078.3865728,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:18.437,1776342078.4374874,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:18.517,1776342078.5176404,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:18.548,1776342078.5488143,Teclado,Key_WASD_Press,0
2026-04-16 13:21:18.622,1776342078.6224525,Teclado,Key_WASD_Release,0
2026-04-16 13:21:18.657,1776342078.657372,Teclado,Key_Space_Press,0
2026-04-16 13:21:18.758,1776342078.7580683,Teclado,Key_Space_Release,0
2026-04-16 13:21:19.006,1776342079.0069094,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:19.101,1776342079.1013772,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:19.131,1776342079.1319108,Teclado,Key_Space_Press,0
2026-04-16 13:21:19.217,1776342079.217054,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:19.221,1776342079.2216322,Teclado,Key_Space_Release,0
2026-04-16 13:21:19.311,1776342079.311797,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:19.347,1776342079.3473537,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:19.427,1776342079.427243,Teclado,Key_WASD_Press,0
2026-04-16 13:21:19.443,1776342079.4434812,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:19.522,1776342079.522523,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:19.575,1776342079.5752506,Teclado,Key_WASD_Release,0
2026-04-16 13:21:19.640,1776342079.6406922,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:19.655,1776342079.6558027,Teclado,Key_AlphaNumeric_Release,0
