Datetime,Contexto_Previsto,Confianca
2026-04-23 11:02:25,Trabalhar,1.0
2026-04-23 11:03:27,Trabalhar,0.9999
2026-04-23 11:06:13,Lazer,0.9998
2026-04-23 11:07:14,Lazer,0.9994
2026-04-23 11:08:15,Ler,0.9999
2026-04-23 11:09:15,Jogar,1.0
2026-04-23 11:10:16,Jogar,1.0
