Datetime,Acoes_Agrupadas
2026-04-23 11:02:25,Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Release Key_Space_Press Key_Space_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Space_Press Key_Space_Release Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Space_Press Key_Space_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Release Key_Space_Release Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left
2026-04-23 11:03:27,Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Key_Enter_Press Key_Enter_Release Key_Enter_Press Key_Enter_Release Key_WASD_Press Key_WASD_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_WASD_Release Key_Space_Press Key_AlphaNumeric_Release Key_Space_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_WASD_Release Key_WASD_Press Key_AlphaNumeric_Release Key_WASD_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Space_Press Key_Space_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_WASD_Press Key_WASD_Release Key_Space_Press Key_Space_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Space_Press Key_AlphaNumeric_Release Key_Space_Release Key_Modifier_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Modifier_Release Key_Modifier_Press Key_AlphaNumeric_Press Key_Modifier_Release Key_WASD_Release Key_Arrow_Press Key_Arrow_Release Key_Modifier_Press Key_Modifier_Press Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Modifier_Release Key_Modifier_Release Key_Delete_Press Key_Delete_Release Key_Modifier_Press Key_AlphaNumeric_Press Key_Modifier_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Space_Press Key_Space_Release Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_WASD_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Modifier_Press Key_AlphaNumeric_Press Key_Modifier_Release Key_AlphaNumeric_Release Key_Space_Press Key_Space_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Space_Press Key_Space_Release Key_WASD_Press Key_WASD_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_WASD_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_WASD_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_Enter_Press Key_Enter_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Modifier_Press Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release Key_Modifier_Release Key_Delete_Press Key_Delete_Release Key_Delete_Press Key_Delete_Release
2026-04-23 11:06:13,Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left
2026-04-23 11:07:14,Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left
2026-04-23 11:08:15,Click_Press_left Click_Release_left Click_Press_left Click_Release_left Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release Key_Arrow_Press Key_Arrow_Release
2026-04-23 11:09:15,Click_Press_left Click_Release_left Click_Press_left Click_Release_left Click_Press_left Click_Release_left Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_WASD_Press Key_WASD_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Space_Press Key_Space_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Release Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Space_Press Key_Space_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Release Key_Enter_Press Key_AlphaNumeric_Release Key_Enter_Release Click_Press_left Click_Release_left Click_Press_left Click_Release_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_Space_Release Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release
2026-04-23 11:10:16,Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Release Key_WASD_Release Click_Press_left Click_Release_left Click_Press_left Click_Release_left
